header,pin,x_mm,y_mm
J11,1,12.02,50.88
J11,2,12.02,53.42
J11,3,14.56,50.88
J11,4,14.56,53.42
J11,5,17.1,50.88
J11,6,17.1,53.42
J11,7,19.64,50.88
J11,8,19.64,53.42
J11,9,22.18,50.88
J11,10,22.18,53.42
J11,11,24.72,50.88
J11,12,24.72,53.42
J11,13,27.26,50.88
J11,14,27.26,53.42
J11,15,29.8,50.88
J11,16,29.8,53.42
J11,17,32.34,50.88
J11,18,32.34,53.42
J11,19,34.88,50.88
J11,20,34.88,53.42
J11,21,37.42,50.88
J11,22,37.42,53.42
J11,23,39.96,50.88
J11,24,39.96,53.42
J11,25,42.5,50.88
J11,26,42.5,53.42
J11,27,45.04,50.88
J11,28,45.04,53.42
J11,29,47.58,50.88
J11,30,47.58,53.42
J11,31,50.12,50.88
J11,32,50.12,53.42
J11,33,52.66,50.88
J11,34,52.66,53.42
J11,35,55.2,50.88
J11,36,55.2,53.42
J11,37,57.74,50.88
J11,38,57.74,53.42
J11,39,60.28,50.88
J11,40,60.28,53.42
J11,41,62.82,50.88
J11,42,62.82,53.42
J11,43,65.36,50.88
J11,44,65.36,53.42
J11,45,67.9,50.88
J11,46,67.9,53.42
J11,47,70.44,50.88
J11,48,70.44,53.42
J11,49,72.98,50.88
J11,50,72.98,53.42
J12,1,72.98,2.58
J12,2,72.98,5.12
J12,3,70.44,2.58
J12,4,70.44,5.12
J12,5,67.9,2.58
J12,6,67.9,5.12
J12,7,65.36,2.58
J12,8,65.36,5.12
J12,9,62.82,2.58
J12,10,62.82,5.12
J12,11,60.28,2.58
J12,12,60.28,5.12
J12,13,57.74,2.58
J12,14,57.74,5.12
J12,15,55.2,2.58
J12,16,55.2,5.12
J12,17,52.66,2.58
J12,18,52.66,5.12
J12,19,50.12,2.58
J12,20,50.12,5.12
J12,21,47.58,2.58
J12,22,47.58,5.12
J12,23,45.04,2.58
J12,24,45.04,5.12
J12,25,42.5,2.58
J12,26,42.5,5.12
J12,27,39.96,2.58
J12,28,39.96,5.12
J12,29,37.42,2.58
J12,30,37.42,5.12
J12,31,34.88,2.58
J12,32,34.88,5.12
J12,33,32.34,2.58
J12,34,32.34,5.12
J12,35,29.8,2.58
J12,36,29.8,5.12
J12,37,27.26,2.58
J12,38,27.26,5.12
J12,39,24.72,2.58
J12,40,24.72,5.12
J12,41,22.18,2.58
J12,42,22.18,5.12
J12,43,19.64,2.58
J12,44,19.64,5.12
J12,45,17.1,2.58
J12,46,17.1,5.12
J12,47,14.56,2.58
J12,48,14.56,5.12
J12,49,12.02,2.58
J12,50,12.02,5.12
